name,model,accuracy,precision,recall,F1
friends_25,1,0.4121,0.7741,0.0664,0.1223
friends_50,2,0.4068,0.7658,0.0625,0.1156
friends_75,3,0.4227,0.7628,0.0914,0.1633
friends_100,4,0.4043,0.7448,0.0615,0.1137
friends_125,5,0.4093,0.7498,0.0741,0.1348
friends_150,6,0.4116,0.7506,0.0819,0.1476
friends_25_25,7,0.3857,0.7142,0.0612,0.1128
friends_50_25,8,0.3830,0.7118,0.0559,0.1036
friends_50_50,9,0.3693,0.6960,0.0419,0.0790
friends_75_50,10,0.4151,0.7263,0.1013,0.1778
friends_100_50,11,0.3955,0.7169,0.0771,0.1393
friends_150_75,12,0.3893,0.7154,0.0737,0.1337
friends_75_50_25,13,0.3652,0.6703,0.0534,0.0989
friends_100_50_25,14,0.3522,0.6913,0.0500,0.0933
friends_150_75_25,15,0.3752,0.6830,0.0717,0.1298
friends_150_150_150,16,0.3799,0.6934,0.0829,0.1481
