name,model,accuracy,precision,recall,F1
simpsons_25,1,0.5735,0.7247,0.3416,0.4643
simpsons_50,2,0.5719,0.7226,0.3459,0.4679
simpsons_75,3,0.5750,0.7195,0.3577,0.4778
simpsons_100,4,0.5802,0.7201,0.3665,0.4858
simpsons_125,5,0.5671,0.7113,0.3446,0.4643
simpsons_150,6,0.5694,0.7142,0.3471,0.4671
simpsons_25_25,7,0.5593,0.7048,0.3279,0.4476
simpsons_50_25,8,0.5735,0.7123,0.3530,0.4721
simpsons_50_50,9,0.5538,0.6975,0.3326,0.4505
simpsons_75_50,10,0.5783,0.7122,0.3702,0.4872
simpsons_100_50,11,0.5605,0.7009,0.3464,0.4636
simpsons_150_75,12,0.5679,0.7037,0.3582,0.4747
simpsons_75_50_25,13,0.5573,0.7002,0.3345,0.4527
simpsons_100_50_25,14,0.5614,0.6987,0.3474,0.4641
simpsons_150_75_25,15,0.5635,0.6995,0.3550,0.4710
simpsons_150_150_150,16,0.5495,0.6874,0.3392,0.4543
